Year_and_Month,Num_Sold,Average_Transaction,Product,Categoryid
"2023 07",3,65.500000,"Staedtler Mars Lumograph Graphite Pencils (Set of 12)",115
"2023 07",3,20.360000,"The Bluebook: A Uniform System of Citation",125
"2023 07",3,8.000000,"LTCA Year Up Mechanical Pencil (Pack of 2)",130
"2023 07",3,28.880000,"Dell 130W USB-C Charger",120
"2023 07",3,29.300000,"Wax Carving Tools (Set of 10)",115
"2023 07",3,40.360000,"The Penguin Dictionary of Literary Terms",125
"2023 07",3,9.090000,"Staedtler White Vinyl Erasers (Pack of 4)",110
"2023 07",3,24.200000,"CliffsNotes Chemistry Quick Review",125
"2023 07",3,32.640000,"LTCA Year Up Knit Hat with Pom (Navy and White)",130
"2023 07",3,20.360000,"Bristol Smooth Paper Pad (9x12 inches)",115
"2023 07",3,52.900000,"GMAT Study Guide",100
"2023 07",3,25.450000,"The Pocket Style Manual",125
"2023 07",3,20.360000,"Cork Bulletin Board with Push Pins",110
"2023 07",3,68.880000,"Logitech K780 Multi-Device Keyboard",120
"2023 07",3,4.000000,"Stretched Canvas (16x20 inches, Pack of 2)",115
"2023 07",3,57.700000,"Sakura Pigma Micron Pens (Set of 8, Black)",115
"2023 07",3,1257.120000,"Lenovo ThinkPad X1 Carbon",120
"2023 07",3,26.520000,"A Clash of Kings",125
"2023 07",3,39.750000,"LTCA Year Up Wall Clock (Round, Black)",130
"2023 07",3,88.420000,"English as a Second Language",100
"2023 07",3,24.200000,"Everything is Fcked*",125
"2023 07",3,126.180000,"SteelSeries Arctis 7+",120
"2023 07",3,24.280000,"LTCA Year Up Stadium Blanket",130
"2023 07",2,12.700000,"APA Manual of Style (7th Edition)",125
"2023 07",2,52.400000,"Prismacolor Premier Colored Pencils (Set of 72)",115
"2023 07",2,24.280000,"Can’t Hurt Me",125
"2023 07",2,55.000000,"LTCA Year Up Long-Sleeve Tee (Gray)",130
"2023 07",2,20.360000,"On Writing",125
"2023 07",2,12.120000,"Envelope Moistener with Adhesive",110
"2023 07",2,24.280000,"Daring Greatly",125
"2023 07",2,134.800000,"American History Since 1865",100
"2023 07",2,19.360000,"Catching Fire",125
"2023 07",2,15.240000,"A Thousand Splendid Suns",125
"2023 07",2,20.360000,"The Song of Achilles",125
"2023 07",2,20.360000,Circe,125
"2023 07",2,8.450000,"Pilot Precise V5 RT Rollerball Pens (Black)",110
"2023 07",2,24.200000,"Animal Farm",125
"2023 07",2,53.440000,"AP Calculus AB & BC Prep",125
"2023 07",2,25.450000,"Atlas of Human Anatomy",125
"2023 07",2,1294.300000,"Acer Chromebook Spin 713",120
"2023 07",2,837.280000,"Realme Pad",120
"2023 07",2,228.300000,"Leadership and Management Principles",100
"2023 07",2,25.450000,"Digital Minimalism",125
"2023 07",2,17.700000,"Homo Deus: A Brief History of Tomorrow",125
"2023 07",2,24.280000,"The Road",125
"2023 07",2,113.430000,"Skullcandy Crusher Evo",120
"2023 07",2,225.450000,"Encyclopedia Britannica Concise Edition",125
"2023 07",2,23.440000,"CliffsNotes Algebra I",125
"2023 07",2,20.360000,"The Four Agreements",125
"2023 07",1,58.920000,"Kaplan GRE Prep 2024",125
"2023 07",1,44.000000,"LTCA Year Up Classic Cotton T-Shirt (White)",130
"2023 07",1,76.520000,"CPA Exam Review",125
"2023 07",1,7.000000,"LTCA Year Up USB Flash Drive (32GB)",130
"2023 07",1,237.280000,"Microsoft Office 365",120
"2023 07",1,50.360000,"Princeton Review ACT Prep",125
"2023 07",1,24.200000,"CrashCourse in U.S. History",125
"2023 07",1,701.880000,"Apple iPad Air (10.9-inch)",120
"2023 07",1,24.200000,"Brave New World",125
"2023 07",1,12.150000,"Fiskars 12-Inch Paper Trimmer",115
"2023 07",1,13.130000,"The Glass Castle",125
"2023 07",1,26.520000,"A Storm of Swords",125
"2023 07",1,19.360000,Wild,125
"2023 07",1,40.360000,"Atlas of World Geography",125
"2023 07",1,1161.140000,"Razer Blade 14",120
"2023 07",1,10.160000,"Avery Heavy-Duty 3-Ring Binder (2-inch, Black)",110
"2023 07",1,17.700000,"Sapiens: A Brief History of Humankind",125
"2023 07",1,17.700000,"The Immortal Life of Henrietta Lacks",125
"2023 08",16,75.880000,"Seagate Backup Plus Hub (8TB)",120
"2023 08",16,12.120000,"Winsor & Newton Cotman Watercolor Brushes (Set of 5)",115
"2023 08",15,217.340000,"Community Health",100
"2023 08",14,296.600000,"Visual Studio 2022",120
"2023 08",14,44.400000,"LTCA Year Up Performance Dri-Fit T-Shirt (Gray)",130
"2023 08",14,12.000000,"LTCA Year Up Pennant Flag (Black and Gold)",130
"2023 08",14,12.400000,"Calculator Cover Case",110
"2023 08",14,20.360000,"Malibu Rising",125
"2023 08",13,7.850000,"Ticonderoga No",110
"2023 08",13,19.360000,"Acrylic Paint Set (Set of 12 Tubes)",110
"2023 08",13,50.960000,"Pentel Arts Oil Pastels (Set of 50)",115
"2023 08",13,17.700000,"You Are a Badass",125
"2023 08",13,7.850000,"Zebra Mildliner Highlighters (Pastel Colors, Pack of 15)",110
"2023 08",13,111.600000,"Phonetics and Phonology",100
"2023 08",13,26.520000,"LTCA Year Up Folding Stadium Seat",130
"2023 08",12,17.700000,"The Great Gatsby",125
"2023 08",12,9.090000,"Badge Lanyards (Assorted Colors, Set of 5)",110
"2023 08",12,28.920000,"Harry Potter and the Sorcerer’s Stone",125
"2023 08",12,8.000000,"LTCA Year Up Trophy Replica (Mini)",130
"2023 08",12,12.120000,"Mead Cambridge Business Notebook (Professional Design)",110
"2023 08",12,65.500000,"LTCA Year Up Pullover Hoodie (Navy Blue)",130
"2023 08",12,12.120000,"Envelope Moistener with Adhesive",110
"2023 08",12,253.400000,"Blockchain Technology",100
"2023 08",12,1292.000000,"ASUS VivoBook S15",120
"2023 08",12,134.800000,"Physical Therapy Principles",100
"2023 08",12,6.000000,"Speedball Calligraphy Ink (Black)",115
"2023 08",12,34.640000,"Daniel Smith Extra Fine Watercolors (6-Tube Set)",115
"2023 08",12,65.500000,"LTCA Year Up Pullover Hoodie (Gray)",130
"2023 08",12,12.320000,"Gorilla Glue Super Glue Gel",110
"2023 08",12,12.700000,"Avery Address Labels (Clear, Pack of 500)",110
"2023 08",12,24.280000,"Man’s Search for Meaning",125
"2023 08",11,111.900000,"Materials Science and Engineering",100
"2023 08",11,12.120000,"Index Cards (3x5, White, Pack of 500)",110
"2023 08",11,219.300000,"Physics for Scientists and Engineers",100
"2023 08",11,115.280000,"Pathophysiology Essentials",100
"2023 08",11,9.950000,"Uni-ball Vision Elite Rollerball Pens (Blue)",110
"2023 08",11,343.970000,"Slack Premium",120
"2023 08",11,1763.700000,"MSI Creator Z16",120
"2023 08",11,33.100000,"Winsor & Newton Professional Watercolor Set (12 Tubes)",115
"2023 08",11,6.520000,"Pentel EnerGel Deluxe Retractable Pens (Black)",110
"2023 08",11,23.440000,Dune,125
"2023 08",11,6.000000,"LTCA Year Up Vinyl Stickers (Set of 5)",130
"2023 08",11,4.000000,"LTCA Year Up Car Decal (Window Cling)",130
"2023 08",11,29.300000,"Strunk and White’s Elements of Style",125
"2023 08",11,20.360000,"Newsprint Paper Pad (18x24 inches)",115
"2023 08",11,14.600000,"LTCA Year Up Candle (Vanilla Scented)",130
"2023 08",11,27.520000,"Air-Dry Clay (10 lbs, White)",115
"2023 08",10,7.850000,"Staples Standard Staples (5,000 Pack)",110
"2023 08",10,66.000000,"LTCA Year Up Full-Zip Hoodie (Black)",130
"2023 08",10,34.640000,"LTCA Year Up Drawstring Backpack (Black)",130
"2023 08",10,67.850000,"LSAT Logical Reasoning Practice",100
"2023 08",10,24.330000,"LTCA Year Up Throw Pillow (Navy and Gold Logo)",130
"2023 08",10,24.280000,"Of Mice and Men",125
"2023 08",10,63.700000,"LTCA Year Up Trucker Hat (Black Mesh)",130
"2023 08",10,883.480000,"TCL NXTPAPER 10s",120
"2023 08",10,30.160000,"Belkin BoostCharge 32W USB-C Wall Charger",120
"2023 08",10,74.280000,"TOEFL Prep Book 2024",125
"2023 08",10,263.880000,"Introduction to Archaeology",100
"2023 08",10,1275.440000,"Samsung Galaxy Book Pro",120
"2023 08",10,1376.440000,"LG Gram 17",120
"2023 08",10,223.800000,"Macroeconomics: Concepts and Applications",100
"2023 08",10,12.120000,"Harry Potter and the Prisoner of Azkaban",125
"2023 08",10,20.360000,"Protractor and Compass Set",110
"2023 08",10,20.360000,"The Catcher in the Rye",125
"2023 08",10,12.150000,"Olfa Rotary Cutter (45mm)",115
"2023 08",10,17.700000,"To Kill a Mockingbird",125
"2023 08",10,23.440000,"Artify Professional Oil Paint Brush Set (15 Brushes)",115
"2023 08",10,44.500000,"Field Sketch Easel (Aluminum, Portable)",115
"2023 08",10,59.580000,"LTCA Year Up Pullover Hoodie (Black)",130
"2023 08",10,1250.960000,"HP Envy 15",120
"2023 08",10,272.240000,"Evernote Premium",120
"2023 08",9,715.000000,"Samsung Galaxy Tab S9 Ultra",120
"2023 08",9,827.450000,"Lenovo Tab P12 Pro",120
"2023 08",9,1317.700000,"Dell Inspiron 15",120
"2023 08",9,207.850000,"Sharp EL-W516T",120
"2023 08",9,144.000000,"Entrepreneurship and Innovation",100
"2023 08",9,254.900000,"MATLAB Student Edition",120
"2023 08",9,44.500000,"LTCA Year Up Fleece Blanket (Gray)",130
"2023 08",9,9.450000,"Pilot G2 Retractable Gel Pens (Blue)",110
"2023 08",9,88.420000,"French Grammar and Composition",100
"2023 08",9,20.360000,"LTCA Year Up Flat-Brim Hat (White)",130
"2023 08",9,12.700000,"Staples D-Ring Binder (3-inch, Red)",110
"2023 08",9,903.900000,"Xiaomi Pad 5 Pro",120
"2023 08",9,9.950000,"Swingline Standard Stapler (Black)",110
"2023 08",9,40.550000,"UHU Glue Stick (Pack of 3)",115
"2023 08",9,1250.960000,"HP Spectre x360",120
"2023 08",9,75.420000,"WD My Passport HDD (4TB)",120
"2023 08",9,29.300000,"Wax Carving Tools (Set of 10)",115
"2023 08",9,206.160000,"Introduction to Psychology",100
"2023 08",9,19.480000,"Self-Healing Cutting Mat (18x24 inches)",115
"2023 08",9,19.360000,"Catching Fire",125
"2023 08",9,61.140000,"LTCA Year Up Embroidered Baseball Cap (Gray)",130
"2023 08",9,213.820000,"Nutrition for Health and Fitness",100
"2023 08",9,204.580000,"Applied Linguistics",100
"2023 08",9,20.360000,"The Life-Changing Magic of Tidying Up",125
"2023 08",9,2.880000,"Pentel Twist-Erase Mechanical Pencils (0",110
"2023 08",9,12.300000,"Pencil and Marker Organizer Tray",115
"2023 08",9,26.520000,"Sculpey Polymer Clay Starter Kit (Set of 12 Colors)",115
"2023 08",9,6.000000,"LTCA Year Up Enamel Pin (Round Logo)",130
"2023 08",9,19.360000,"Da Vinci Maestro Series 10 Brushes (Round, Set of 3)",115
"2023 08",9,23.440000,"Silver Brush Limited Ruby Satin Brushes (Set of 6)",115
"2023 08",9,6.020000,"Dixon Oriole HB Pencils (Pack of 24)",110
"2023 08",9,1294.300000,"Lenovo IdeaPad Flex 5",120
"2023 08",9,109.220000,"Sennheiser HD 450BT",120
"2023 08",9,114.710000,"Shure AONIC 50",120
"2023 08",9,272.240000,"Zotero Citation Manager",120
"2023 08",9,9.950000,"Command Poster Strips",110
"2023 08",9,68.880000,"Logitech K780 Multi-Device Keyboard",120
"2023 08",9,26.520000,"LTCA Year Up Basketball (Regulation Size)",130
"2023 08",9,2.400000,"Crayola Colored Pencils (Pack of 24)",110
"2023 08",9,187.440000,"Mathematical Modeling",100
"2023 08",9,114.710000,"Anker Soundcore Life Q30",120
"2023 08",9,57.120000,"Sennelier Soft Pastels (Set of 24)",115
"2023 08",9,9.090000,"Staedtler White Vinyl Erasers (Pack of 4)",110
"2023 08",9,48.000000,"LTCA Year Up Bluetooth Speaker (Portable)",130
"2023 08",9,74.280000,"Test Prep Workbook for GED",125
"2023 08",9,13.130000,"Rocketbook Fusion Smart Reusable Notebook",110
"2023 08",9,6.000000,"Canvas Panels (Pack of 10, 8x10 inches)",115
"2023 08",9,24.330000,"Tabletop Easel (Adjustable)",115
"2023 08",8,34.140000,"HyperJuice GaN 100W Charger",120
"2023 08",8,20.360000,"Where the Crawdads Sing",125
"2023 08",8,219.300000,"Organic Chemistry II",100
"2023 08",8,1717.700000,"Apple MacBook Air (M2, 13-inch)",120
"2023 08",8,52.400000,"LTCA Year Up Long-Sleeve Tee (Black)",130
"2023 08",8,1291.710000,"Chromebook Pixelbook Go",120
"2023 08",8,20.360000,"Plastic Report Covers (Clear Front, Pack of 10)",110
"2023 08",8,15.550000,"Faber-Castell Polychromos Colored Pencils (Set of 24)",110
"2023 08",8,61.140000,"Moleskine Art Sketchbook (8.5x11 inches)",115
"2023 08",8,108.330000,"JBL Live 660NC",120
"2023 08",8,6.020000,"Stabilo Boss Original Highlighters (Fluorescent, Pack of 6)",110
"2023 08",8,326.280000,"Zoom Video Conferencing Pro License",120
"2023 08",8,6.020000,"Sharpie Fine Point Permanent Markers (Assorted Colors, Pack of 12)",110
"2023 08",8,10.160000,"Sticky Flags for Page Marking (Assorted Colors)",110
"2023 08",8,7.850000,"Paper Cutter Trimmer (Letter Size)",110
"2023 08",8,7.850000,"Pilot Precise V5 RT Rollerball Pens (Red)",110
"2023 08",8,12.400000,"Hammermill Copy Plus Paper (Letter Size, 500 Sheets)",110
"2023 08",8,111.600000,Sociolinguistics,100
"2023 08",8,7.000000,"Crayola Washable Watercolors (Set of 16)",115
"2023 08",8,4.320000,"Prismacolor Premier Art Markers (Set of 12)",110
"2023 08",8,701.880000,"Apple iPad Air (10.9-inch)",120
"2023 08",8,375.240000,"Texas Instruments TI-89 Titanium",120
"2023 08",8,61.140000,"Canson XL Mixed Media Pad (11x14 inches)",115
"2023 08",8,24.330000,"Studio Floor Easel (H-Frame, Wood)",115
"2023 08",8,228.300000,"Research Methods in Social Sciences",100
"2023 08",8,2.400000,"Crayola Crayons (Pack of 64)",110
"2023 08",8,12.880000,"Astrobrights Colored Paper (Assorted Colors, Pack of 100)",110
"2023 08",8,217.340000,"Statistical Inference",100
"2023 08",8,178.600000,"Calculus I",100
"2023 08",8,24.280000,"LTCA Year Up Stadium Blanket",130
"2023 08",8,71.800000,"MCAT Biology and Biochemistry",100
"2023 08",8,12.000000,"Spray Fixative for Drawings (11 oz)",115
"2023 08",8,28.000000,"Artist Blending Stumps (Pack of 6)",115
"2023 08",8,191.950000,"Ethics and Moral Reasoning",100
"2023 08",8,12.000000,"LTCA Year Up Phone Case (iPhone 14)",130
"2023 08",8,14.000000,"Play-Doh Modeling Compound (Pack of 10)",115
"2023 08",8,28.920000,"LTCA Year Up Beanie Hat (Black)",130
"2023 08",8,2.400000,"Five Star Wirebound Notebook (1 Subject, College Ruled)",110
"2023 08",8,39.750000,"LTCA Year Up Wall Clock (Round, Black)",130
"2023 08",8,393.210000,"HP Prime Graphing Calculator",120
"2023 08",8,9.950000,"Uni-ball Vision Elite Rollerball Pens (Black)",110
"2023 08",8,4.000000,"Stretched Canvas (16x20 inches, Pack of 2)",115
"2023 08",8,131.070000,"Turtle Beach Stealth 700 Gen 2",120
"2023 08",8,5.240000,"Five Star Flex Hybrid NoteBinder",110
"2023 08",8,216.900000,"Political Science: Theory and Practice",100
"2023 08",8,19.480000,"Steel Ruler (12-inch)",115
"2023 08",8,74.500000,"SAT Math Essentials",100
"2023 08",8,17.700000,"Smead Expanding File Folder (13-Pocket, Letter Size)",110
"2023 08",8,48.000000,"Calligraphy Dip Pen with Nibs (Set of 6)",115
"2023 08",8,221.480000,"Fundamentals of Nursing",100
"2023 08",8,57.120000,"LTCA Year Up Track Jacket (Navy Blue)",130
"2023 08",8,68.880000,"Apple Magic Keyboard",120
"2023 08",8,205.800000,"Clinical Anatomy",100
"2023 08",8,14.320000,"ID Badge Holders with Clips (Pack of 10)",110
"2023 08",8,28.880000,"Dell 130W USB-C Charger",120
"2023 08",8,28.690000,"Apple 67W USB-C Power Adapter",120
"2023 08",8,43.300000,"LTCA Year Up Laptop Sleeve (15-inch)",130
"2023 08",8,71.740000,"Anker PowerExpand USB-C Dock",120
"2023 08",8,61.140000,"Strathmore Sketch Pad (9x12 inches)",115
"2023 08",8,165.500000,"Strategic Management",100
"2023 08",8,77.810000,"AVerMedia Live Streamer CAM 513",120
"2023 08",8,26.520000,"Black Holes and Baby Universes",125
"2023 08",8,57.120000,"Faber-Castell Pitt Artist Pens (Set of 12, Black)",115
"2023 08",7,26.400000,"LTCA Year Up Picnic Blanket",130
"2023 08",7,6.000000,"ArtBin Essentials Box (Plastic Storage Container)",115
"2023 08",7,9.090000,"Daler-Rowney Gouache Paint Set (12 Tubes)",115
"2023 08",7,33.130000,"Microsoft Surface 65W Power Supply",120
"2023 08",7,26.520000,"LTCA Year Up Soccer Ball (Regulation Size)",130
"2023 08",7,189.000000,"Web Development: HTML, CSS, and JavaScript",100
"2023 08",7,6.020000,"Acrylic Desk Organizer Tray Set",110
"2023 08",7,652.900000,"Acer Enduro Urban T1",120
"2023 08",7,19.360000,"Avery Heavy-Duty 3-Ring Binder (1-inch, White)",110
"2023 08",7,14.000000,"LTCA Year Up USB Flash Drive (64GB)",130
"2023 08",7,13.130000,"Princeton Velvetouch Mixed-Media Brushes (Set of 4)",115
"2023 08",7,1257.120000,"Lenovo ThinkPad X1 Carbon",120
"2023 08",7,134.800000,"American History Since 1865",100
"2023 08",7,57.700000,"LTCA Year Up Full-Zip Hoodie (Charcoal Gray)",130
"2023 08",7,17.700000,"Girl, Wash Your Face",125
"2023 08",7,367.080000,"Texas Instruments TI-84 Plus CE",120
"2023 08",7,192.260000,"Organic Chemistry I",100
"2023 08",7,228.770000,"The Basics of Anthropology",100
"2023 08",7,852.940000,"Dell Latitude 7320 Detachable",120
"2023 08",7,23.440000,"LTCA Year Up Lanyard (Navy Blue)",130
"2023 08",7,69.900000,"Corsair K95 RGB Platinum Keyboard",120
"2023 08",7,7.850000,"Washi Tape (Assorted Patterns, Set of 10 Rolls)",110
"2023 08",7,10.160000,"Avery Heavy-Duty 3-Ring Binder (2-inch, Black)",110
"2023 08",7,20.360000,"Moleskine Classic Hardcover Notebook (Grid, Red)",110
"2023 08",7,4.320000,"BIC Xtra-Smooth Mechanical Pencils (0",110
"2023 08",7,76.360000,"Elgato Stream Deck MK",120
"2023 08",7,132.900000,"Microsoft Surface Headphones 2",120
"2023 08",7,144.400000,"Human Resource Management",100
"2023 08",7,13.130000,"The Hunger Games",125
"2023 08",7,17.700000,"Erin Condren LifePlanner (Vertical Layout)",110
"2023 08",7,20.360000,"LTCA Year Up Flat-Brim Hat (Black)",130
"2023 08",7,23.440000,Mockingjay,125
"2023 08",7,102.090000,"Sony WH-1000XM5",120
"2023 08",7,166.000000,"Circuits and Systems",100
"2023 08",7,26.400000,"The Art of War",125
"2023 08",7,4.320000,"Rhodia DotPad No",110
"2023 08",7,187.250000,"Computer Programming: A Practical Introduction",100
"2023 08",7,10.100000,"Post-it Super Sticky Notes (Bright Colors, Pack of 15)",110
"2023 08",7,51.960000,"LTCA Year Up Water Bottle (Stainless Steel)",130
"2023 08",7,27.520000,"LTCA Year Up Frisbee (Flying Disc)",130
"2023 08",7,77.810000,"Philips Hue Play HDMI Sync Box",120
"2023 08",7,25.450000,"Atlas of Human Anatomy",125
"2023 08",7,7.000000,"LTCA Year Up USB Flash Drive (32GB)",130
"2023 08",7,44.000000,"LTCA Year Up Classic Cotton T-Shirt (Navy Blue)",130
"2023 08",7,237.280000,"Adobe Creative Cloud Suite",120
"2023 08",7,6.000000,"LTCA Year Up Magnet (Fridge)",130
"2023 08",7,136.120000,"Bose SoundSport Free",120
"2023 08",7,20.360000,"LTCA Year Up Trucker Hat (Blue Mesh)",130
"2023 08",7,159.580000,"Organizational Behavior",100
"2023 08",7,346.680000,"Sketch App License",120
"2023 08",7,12.000000,"Pilot Parallel Pen Calligraphy Set",115
"2023 08",7,2.880000,"Push Pins (Clear, Pack of 200)",110
"2023 08",7,6.520000,"Electric Desktop Pencil Sharpener (Heavy Duty)",110
"2023 08",7,24.280000,"The Gifts of Imperfection",125
"2023 08",7,5.240000,"Day Designer Daily Planner (Undated)",110
"2023 08",7,23.440000,"LTCA Year Up Lanyard (Black)",130
"2023 08",7,25.000000,"Kneaded Erasers (Set of 3)",115
"2023 08",7,7.850000,"Bic Cristal Ballpoint Pens (Black, Pack of 10)",110
"2023 08",7,10.160000,"Pentel Hi-Polymer Block Erasers (Pack of 3)",110
"2023 08",7,20.360000,"Avery Index Dividers with Tabs (5-Tab, Multicolor)",110
"2023 08",7,238.560000,"AutoDesk AutoCAD",120
"2023 08",7,13.000000,"Kid-Safe Scissors (Set of 2)",115
"2023 08",7,39.750000,"LTCA Year Up Desk Clock",130
"2023 08",7,6.850000,"Paper Mate Flair Felt Tip Pens (Assorted Colors)",110
"2023 08",7,2.400000,"Leuchtturm1917 A5 Notebook (Dotted, Navy Blue)",110
"2023 08",7,12.700000,"The Omnivore’s Dilemma",125
"2023 08",7,32.640000,"Strathmore Toned Tan Sketch Paper Pad (9x12 inches)",115
"2023 08",7,10.100000,"LTCA Year Up Coffee Mug (Ceramic, Black)",130
"2023 08",7,26.520000,"Wooden Oval Paint Palette",115
"2023 08",7,27.520000,"LTCA Year Up Foam Finger (Black)",130
"2023 08",7,214.320000,"Introduction to Statistics",100
"2023 08",7,244.900000,"Molecular Biology",100
"2023 08",7,228.300000,"Leadership and Management Principles",100
"2023 08",7,12.000000,"Tombow Fudenosuke Brush Pens (Hard and Soft Tip)",115
"2023 08",7,107.060000,"Bose QuietComfort 45",120
"2023 08",7,28.920000,"The Tipping Point",125
"2023 08",7,28.920000,"Black Drawing Paper Pad (8.5x11 inches)",115
"2023 08",7,6.020000,"Staedtler Mars Lumograph Drawing Pencils (Set of 12)",110
"2023 08",7,12.120000,"LTCA Year Up Coffee Mug (Ceramic, White)",130
"2023 08",7,61.140000,"LTCA Year Up Embroidered Baseball Cap (Black)",130
"2023 08",7,74.280000,"GRE Math Review",125
"2023 08",7,36.150000,"Reeves Acrylic Paints (Set of 24)",115
"2023 08",7,28.920000,"Canson Comic Book Art Boards (11x17 inches)",115
"2023 08",7,152.400000,"Marketing Fundamentals",100
"2023 08",7,20.360000,"The Hobbit",125
"2023 08",7,193.250000,"Fundamentals of Thermodynamics",100
"2023 08",7,24.280000,"LTCA Year Up Gym Towel",130
"2023 08",7,5.000000,"Fine Mist Spray Bottle for Watercolors",115
"2023 08",7,355.920000,"GitHub Pro",120
"2023 08",6,145.970000,"Discrete Mathematics",100
"2023 08",6,6.000000,"LTCA Year Up Earbuds (Wired)",130
"2023 08",6,119.280000,"Audio-Technica ATH-M50xBT2",120
"2023 08",6,19.480000,"LTCA Year Up Wall Calendar",130
"2023 08",6,1294.300000,"Acer Chromebook Spin 713",120
"2023 08",6,51.960000,"Winsor & Newton Oil Paint Set (10 Tubes)",115
"2023 08",6,12.400000,"Elastic Book Bands (Set of 3)",110
"2023 08",6,16.600000,"Wire Armature for Sculpting (16 Gauge, 10 feet)",115
"2023 08",6,113.820000,"Jabra Elite 85h",120
"2023 08",6,798.800000,"Chuwi HiPad Max",120
"2023 08",6,144.000000,"Corporate Finance",100
"2023 08",6,33.130000,"ASUS USB-C 65W Charger",120
"2023 08",6,11.000000,"LTCA Year Up Clipboard (Plastic)",130
"2023 08",6,265.070000,"Grammarly Premium",120
"2023 08",6,13.000000,"LTCA Year Up Phone Stand (Adjustable)",130
"2023 08",6,31.890000,"Google Pixel USB-C 30W Power Adapter",120
"2023 08",6,195.300000,"Forensic Science",100
"2023 08",6,57.700000,"Sharpie Fine Point Markers (Set of 24)",115
"2023 08",6,52.900000,"GMAT Study Guide",100
"2023 08",6,215.770000,"Numerical Methods",100
"2023 08",6,815.000000,"Microsoft Surface Pro 9",120
"2023 08",6,113.430000,"Skullcandy Crusher Evo",120
"2023 08",6,19.360000,"Graph Paper Pads (Letter Size, Pack of 4)",110
"2023 08",6,205.800000,"Microeconomics: An Introduction",100
"2023 08",6,241.400000,"Criminology: A Contemporary Introduction",100
"2023 08",6,10.100000,"Paper Mate Pink Pearl Erasers (Pack of 6)",110
"2023 08",6,30.620000,"Samsung 25W Super Fast Charger",120
"2023 08",6,50.960000,"LTCA Year Up Quarter-Zip Sweatshirt (Maroon)",130
"2023 08",6,7.850000,"Fellowes Mesh Desk Organizer",110
"2023 08",6,9.090000,"Sticky Notes (3x3, Yellow, Pack of 12)",110
"2023 08",6,1257.120000,"Lenovo Yoga 7i",120
"2023 08",6,76.360000,"Logitech StreamCam",120
"2023 08",6,20.360000,"Moleskine Classic Hardcover Notebook (Ruled, Black)",110
"2023 08",6,171.900000,"Art History: The Renaissance to Modernism",100
"2023 08",6,230.700000,"Child Development",100
"2023 08",6,57.700000,"Copic Sketch Markers (Set of 24)",115
"2023 08",6,152.400000,"International Business",100
"2023 08",6,6.020000,"Duck Brand Duct Tape (Black, 10 Yards)",110
"2023 08",6,12.120000,"Strathmore Bristol Paper Pad (11x17 inches)",110
"2023 08",6,57.700000,"Tombow Dual Brush Pens (Set of 20)",115
"2023 08",6,57.120000,"LTCA Year Up Fleece Jacket (Gray)",130
"2023 08",6,18.000000,"Plaster of Paris (5 lbs)",115
"2023 08",6,204.580000,"Chinese Characters Made Easy",100
"2023 08",6,10.160000,"Desk Drawer Organizer Bins (Set of 6)",110
"2023 08",6,55.000000,"LTCA Year Up Long-Sleeve Tee (Gray)",130
"2023 08",6,28.000000,"LTCA Year Up Snow Globe",130
"2023 08",6,318.960000,"R Studio Desktop",120
"2023 08",6,1161.140000,"Razer Blade 14",120
"2023 08",6,336.480000,"Notion Pro",120
"2023 08",6,17.700000,1984,125
"2023 08",6,110.250000,"Introduction to Electrical Engineering",100
"2023 08",6,24.200000,"LTCA Year Up Passport Holder (Leather)",130
"2023 08",6,74.280000,"CliffsNotes Physics Review",125
"2023 08",6,20.360000,"Cork Bulletin Board with Push Pins",110
"2023 08",6,120.820000,"Razer Kraken X",120
"2023 08",6,8.000000,"LTCA Year Up Gel Pen (Pack of 2)",130
"2023 08",6,2.880000,"Five Star Wirebound Notebook (3 Subject, Wide Ruled)",110
"2023 08",6,9.090000,"Winsor & Newton Watercolor Paint Set (12 Colors)",110
"2023 08",6,27.610000,"Crayola Glitter Glue (Set of 9)",115
"2023 08",6,61.140000,"LTCA Year Up Embroidered Baseball Cap (Navy Blue)",130
"2023 08",6,60.720000,"Japanese for Travelers",100
"2023 08",6,112.000000,"LTCA Year Up Noise-Canceling Headphones",130
"2023 08",6,212.320000,"Medical Terminology",100
"2023 08",6,24.330000,"LTCA Year Up Throw Pillow (Black and White Logo)",130
"2023 08",6,6.000000,"Masking Tape (Artist Grade)",115
"2023 08",6,27.610000,"LTCA Year Up Wireless Charger (Black)",130
"2023 08",6,88.420000,"English as a Second Language",100
"2023 08",6,52.900000,"GRE Prep 101",100
"2023 08",6,10.100000,"Letter Opener (Stainless Steel)",110
"2023 08",6,57.700000,"Sakura Pigma Micron Pens (Set of 8, Black)",115
"2023 08",6,126.180000,"SteelSeries Arctis 7+",120
"2023 08",6,24.000000,"Plastic Palette Knives (Set of 5)",115
"2023 08",6,379.400000,"Casio fx-9750GII",120
"2023 08",6,24.280000,"Crayola Washable Kids’ Paint Brushes (Set of 10)",115
"2023 08",6,107.060000,"Beats Studio Buds",120
"2023 08",6,2.400000,"Binder Clips (Assorted Sizes, Pack of 36)",110
"2023 08",6,5.000000,"LTCA Year Up Patch (Sew-On)",130
"2023 08",6,30.620000,"Aukey Omnia 65W Fast Charger",120
"2023 08",6,213.820000,"Mental Health Nursing",100
"2023 08",6,57.120000,"Winsor & Newton Watercolor Markers (Set of 6)",115
"2023 08",6,133.100000,"Business Law Today",100
